Category,Admissions,Male,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean length of stay,Median length of stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Day case,Bed days,Year
H25-H28 Disorders of lens (including cataracts),314651,120128,1054,270856,90.0,78.0,1.4,1.0,75,449,25803,100340.0,188688,295413,27967.0,2004
H40-H42 Glaucoma,13138,6262,1962,10394,47.0,35.0,2.0,1.0,67,211,3210,4949.0,4885,8419,9543.0,2004
H60-H95 Diseases of the ear and mastoid process,79019,43073,13665,63442,102.0,74.0,1.7,1.0,27,40991,27810,8018.0,4130,40019,68078.0,2004
I00-I09 Rheumatic heart disease,4037,1964,840,2674,92.0,74.0,13.3,9.0,65,72,1339,2169.0,1467,1341,38076.0,2004
I10-I15 Hypertensive diseases,27917,18731,9653,4339,48.0,22.0,7.5,2.0,63,301,11865,11544.0,9627,13520,107653.0,2004
I20-I25 Ischaemic heart diseases,311533,271326,169970,110862,88.0,73.0,7.1,4.0,68,32,110474,173884.0,136944,60920,1830984.0,2004
I26-I28 Pulmonary heart disease & diseases of pulmonary circulation,19832,13023,14922,1557,54.0,30.0,10.6,7.0,63,250,10424,9503.0,9684,2792,195509.0,2004
I30-I52 Other forms of heart disease,206393,157448,146527,42926,83.0,59.0,9.3,5.0,71,2149,54478,90792.0,148191,25658,1737604.0,2004
I60-I69 Cerebrovascular diseases,99268,81434,78661,7172,40.0,26.0,25.0,11.0,74,537,25423,48092.0,98084,964,2590292.0,2004
"I70-I79 Diseases of arteries, arterioles & capillaries",58189,45433,18582,31606,49.0,28.0,11.3,5.0,69,401,14747,28683.0,29132,8617,569119.0,2004
I80-I89 Diseases of veins & lymphatic system nec.,133666,68683,37413,79669,126.0,93.0,4.3,1.0,53,2811,88451,34911.0,20944,67444,290862.0,2004
I95-I99 Other & unspecified disorders of the circulatory system,11531,7629,9716,1033,69.0,20.0,9.7,5.0,76,55,1874,4069.0,11166,1052,110298.0,2004
J00-J06 Acute upper respiratory infections,84554,48127,78135,5271,121.0,95.0,1.2,1.0,11,65935,17639,1940.0,1992,1240,96955.0,2004
J10-J18 Influenza & pneumonia,102517,83182,96838,1454,16.0,6.0,12.3,6.0,66,14064,30108,32737.0,84565,1026,1267948.0,2004
J20-J22 Other acute lower respiratory infections,104401,67870,100028,1098,22.0,7.0,7.4,3.0,54,33909,24851,22785.0,58236,596,779505.0,2004
J30-J39 Other diseases of upper respiratory tract,126949,68259,10830,113470,130.0,106.0,1.4,1.0,31,36264,76651,11884.0,3498,24655,138567.0,2004
J40-J47 Chronic lower respiratory diseases,192313,133083,179493,5599,35.0,11.0,7.0,4.0,59,29264,67586,87310.0,90967,5389,1319617.0,2004
J60-J70 Lung diseases due to external agents,7625,7889,6862,231,26.0,9.0,18.5,10.0,72,336,2429,3024.0,8022,164,151224.0,2004
J80-J99 Other diseases of the respiratory system,49646,41107,33237,8900,23.0,8.0,10.3,6.0,62,3102,21512,22256.0,24266,5950,463621.0,2004
"K00-K14 Diseases of oral cavity, salivary glands & jaws",176173,79940,10306,155114,93.0,70.0,2.0,1.0,29,53764,105041,13091.0,5742,143317,58236.0,2004
K20-K31 Diseases of oesophagusstomach & duodenum,248134,155635,46118,129397,55.0,33.0,7.1,3.0,59,8702,132822,89823.0,71601,190425,472301.0,2004
K35-K38 Diseases of appendix,37260,22444,36114,795,76.0,54.0,4.1,3.0,29,9719,28437,2191.0,879,48,154554.0,2004
K40-K46 Hernia,154680,112288,17355,124164,113.0,84.0,3.3,2.0,55,11098,72343,47689.0,30662,80193,246584.0,2004
K50-K52 Noninfective enteritis & colitis,131413,68364,70748,37731,63.0,37.0,6.0,2.0,46,22194,79953,26086.0,29587,50256,486590.0,2004
K55-K63 Other diseases of intestines,251776,132463,104777,102982,67.0,42.0,7.0,3.0,58,16556,115916,75209.0,82401,118272,923112.0,2004
K65-K67 Diseases of peritoneum,6388,3288,4125,1949,92.0,63.0,11.4,7.0,56,229,4382,1879.0,2054,664,68935.0,2004
K70-K77 Diseases of liver,24263,23470,14720,5574,39.0,21.0,12.6,8.0,53,475,25350,9677.0,3155,4647,265104.0,2004
"K80-K87 Disorders of gall bladder, biliary tract & pancreas",123744,56953,63129,53844,112.0,79.0,6.1,3.0,57,567,82014,40931.0,31920,8576,710879.0,2004
K90-K93 Other diseases of the digestive system,56362,42980,41769,8775,50.0,30.0,6.6,3.0,60,3083,31718,18343.0,28306,11257,267064.0,2004
L00-L14  L55-L99 Other infections and disorders of the skin,240954,137889,103199,125110,84.0,56.0,7.5,2.0,50,18876,149716,49016.0,52907,112460,966335.0,2004
L20-L30 Dermatitis and eczema,9289,4922,5756,2712,41.0,22.0,5.0,2.0,37,3536,3800,1526.0,1411,2011,36050.0,2004
L40-L45 Papulosquamous disorders (including Psoriasis),9374,4639,1288,5952,38.0,14.0,12.7,10.0,50,267,6562,2188.0,804,5438,50174.0,2004
L50-L54 Urticaria and erythems,4641,2514,4097,326,41.0,17.0,2.8,1.0,30,2160,2083,536.0,437,297,12147.0,2004
M00-M25 Arthropathies,382076,171262,41646,299090,162.0,152.0,6.3,5.0,57,13429,177000,126926.0,79410,140080,1523121.0,2004
M30-M36 Systemic connective tissue disorders,14118,4763,3930,4904,30.0,13.0,9.6,4.0,51,1238,8488,4084.0,2522,6930,70576.0,2004
M40-M54 Dorsopathies,174678,77954,41472,92389,96.0,68.0,6.7,3.0,55,2671,107229,45704.0,30746,99777,494003.0,2004
M60-M79 Soft tissue disorders,154263,74117,58635,85061,138.0,115.0,2.4,1.0,55,5206,87756,42069.0,26756,59450,230022.0,2004
M80-M94 Osteopathies and chondropathies,42439,20145,10833,22261,103.0,69.0,8.9,3.0,53,4206,20774,9956.0,11889,15759,241209.0,2004
M95-M99 Other disorders of the musculoskeletal system & conn. tiss.,4027,2156,542,3022,159.0,143.0,7.4,2.0,46,118,2940,592.0,625,829,23698.0,2004
"N00-N08, N10-N16 Diseases of the kidney",32754,17927,17210,9951,60.0,35.0,5.8,3.0,46,3945,22186,7856.0,5973,7570,148777.0,2004
N17-N19 Renal failure,75362,53080,20242,13715,28.0,11.0,11.4,5.0,63,2899,28453,29799.0,32837,41823,390667.0,2004
N20-N23 Urolithiasis,59871,47725,26395,25729,52.0,32.0,2.9,2.0,50,435,47956,14663.0,4826,20651,115756.0,2004
N25-N29 Other disorders of kidney & ureter,3901,2401,1129,2160,59.0,33.0,5.7,3.0,50,623,1994,1129.0,769,1043,16582.0,2004
N30-N39 Other diseases of the urinary system,181532,90332,82940,77837,82.0,54.0,8.9,3.0,62,14519,66892,48048.0,91863,61913,1098853.0,2004
N40-N51 Diseases of male genital organs,110732,115768,24316,78211,98.0,69.0,3.1,2.0,48,20157,44284,31057.0,20075,54606,175967.0,2004
N60-N64 Disorders of breast,24277,2766,3816,19697,90.0,41.0,2.2,2.0,43,364,20690,2878.0,790,10116,31067.0,2004
N70-N77 Inflammatory diseases of female pelvic organs,24948,0,11793,12269,82.0,59.0,2.7,1.0,36,425,23952,1164.0,629,7639,46337.0,2004
N80-N98 Noninflammatory disorders of female genital tract,245779,0,30942,199914,81.0,55.0,2.9,2.0,45,1411,199205,30419.0,12095,132444,333589.0,2004
N99 Other disorders of the genitourinary system,2908,875,605,2112,107.0,80.0,5.7,4.0,56,191,1438,1133.0,495,568,13058.0,2004
O00-O08 Pregnancy with abortive outcome,159385,0,65621,69118,8.0,5.0,1.2,1.0,31,516,144383,9.0,4644,72147,97450.0,2004
"O10-O75, O85-O92, O95-O99 Complications of labour and delivery",986512,0,73530,17138,15.0,2.0,1.8,1.0,28,512,1009238,18.0,200,16174,1717088.0,2004
O80-O84 Delivery,105744,0,406,736,18.0,11.0,1.8,1.0,28,36,106381,2.0,9,6,187897.0,2004
P00-P04 Complications of fetus/neonate affected by maternal,5371,3245,81,10,16.0,9.0,3.4,2.0,0,6214,12,0.0,1,8,18744.0,2004
P05-P96 Other conditions originating in the perinatal period,151739,98552,20477,1809,77.0,42.0,6.7,3.0,0,178106,232,2.0,10,1492,1027889.0,2004
Q00-Q89 Congenital malformations,95271,59521,9211,54898,112.0,83.0,4.7,2.0,11,79315,20544,2506.0,1259,29352,278144.0,2004
Q90-Q99 Chromosomal abnormalities nec.,1712,948,247,437,60.0,23.0,14.2,2.0,13,1171,678,26.0,2,398,10265.0,2004
R00-R09 Symptoms & signs inv. the circulatory/respiratory system,361095,218980,309968,38774,80.0,52.0,2.4,1.0,56,31363,183649,110894.0,94546,32864,770772.0,2004
R10-R19 Symptoms & signs inv. the digestive system & abdomen,351717,139266,241775,70885,59.0,37.0,3.1,1.0,45,38910,232493,65745.0,55711,84225,817192.0,2004
R20-R23 Symptoms & signs inv. the skin & subcutaneous tissue,32696,16299,23497,7514,73.0,41.0,1.8,1.0,35,11738,14588,4817.0,3723,5621,49942.0,2004
R25-R29 Symptoms & signs inv. the nervous & musculoskeletal sys.,19296,10440,11203,3065,48.0,30.0,10.7,3.0,52,5839,5308,3602.0,8865,2396,175210.0,2004
R30-R39 Symptoms & signs involving the urinary system,119811,91380,38168,62022,53.0,34.0,4.3,2.0,63,2757,44611,41090.0,42300,68612,218413.0,2004
"R40-R46 Symptoms & signs inv. Cognition, perception etc.",40275,23407,37091,1462,51.0,28.0,9.0,3.0,71,1117,10725,11542.0,29798,969,320190.0,2004
R47-R49 Symptoms & signs inv. speech & voice,6298,3711,2931,2579,46.0,29.0,7.4,1.0,63,248,2535,2178.0,2383,1726,27228.0,2004
R50-R68 General symptoms & signs,256211,141675,216857,24377,44.0,21.0,5.8,1.0,55,46155,98588,49197.0,116912,20069,1310854.0,2004
R69 Unknown & unspecified causes of morbidity,266025,132175,117925,79434,75.0,35.0,16.0,2.0,52,30254,133341,60747.0,80052,55970,2799474.0,2004
R70-R89 Abnormal findings of bodily fluids or samples without diag.,27568,13670,4539,16434,41.0,30.0,3.1,1.0,53,662,15755,8256.0,4292,19300,25484.0,2004
R90-R94 Abnormal findings on diagnostic imaging/function studies,19643,11866,3337,11126,28.0,10.0,5.0,2.0,61,701,8065,8047.0,5157,12108,38186.0,2004
R95-R99 Ill-defined & unknown causes of mortality,10,7,5,0,0.0,0.0,11.7,2.0,35,5,3,1.0,3,0,83.0,2004
S00-S09 Injuries to the head,137105,98291,117059,14074,17.0,5.0,3.4,1.0,38,34066,77084,10994.0,26905,9641,426771.0,2004
S10-S19 Injuries to the neck,6669,4730,5807,213,48.0,19.0,11.1,2.0,44,543,5016,846.0,1219,61,72505.0,2004
S20-S29 Injuries to the thorax,14330,11011,13534,134,47.0,13.0,8.2,3.0,55,482,9208,2825.0,5147,31,117850.0,2004
"S30-S39 Injuries to abdomen, lower back, lumbar spine & pelvis",26030,14879,23355,501,52.0,21.0,11.4,4.0,55,2797,13765,3338.0,12488,173,296446.0,2004
S40-S49 Injuries to the shoulder & upper arm,30614,16652,26864,2036,35.0,6.0,7.8,2.0,53,6014,11586,5325.0,12833,211,236062.0,2004
S50-S59 Injuries to the elbow & forearm,62816,35157,56383,3787,14.0,2.0,3.5,1.0,38,22676,25270,7809.0,12063,1101,216714.0,2004
S60-S69 Injuries to the wrist & hand,68672,52963,55661,7444,27.0,3.0,1.6,1.0,34,9924,52430,4741.0,3964,4189,104701.0,2004
S70-S79 Injuries to the hip & thigh,79567,27965,70036,1431,45.0,9.0,23.8,15.0,77,2984,8880,14310.0,76183,87,1891584.0,2004
S80-S89 Injuries to the knee & lower leg,65639,38663,57485,4824,65.0,21.0,8.5,4.0,47,7486,40600,10289.0,15463,1882,544382.0,2004
S90-S99 Injuries to the ankle & foot,13267,8600,11827,828,48.0,7.0,5.1,2.0,42,2057,8791,1643.0,2231,325,65435.0,2004
T00-T07 Injuries involving multiple body regions,1699,1053,1548,47,29.0,5.0,11.0,2.0,46,290,1008,213.0,488,7,18000.0,2004
T08-T14 Injuries to unspecified part of trunk limb or body,5470,2980,4891,297,67.0,25.0,5.9,1.0,51,808,2654,656.0,2021,188,31263.0,2004
T15-T19 Effects of foreign body entering through natural orifice,11955,7412,8795,2626,15.0,6.0,1.2,1.0,28,6097,4490,1170.0,1064,2281,11776.0,2004
T20-T32 Burns and corrosions,8977,6179,6697,372,17.0,4.0,5.9,1.0,28,3880,4309,606.0,777,93,52639.0,2004
T33-T35 Frostbite,24,31,17,2,42.0,42.0,16.5,3.0,48,1,26,3.0,3,0,505.0,2004
T36-T50 Poisonings by drugs medicaments & biological substances,93907,45046,92790,132,56.0,22.0,1.6,1.0,34,8160,90677,4858.0,4003,43,156241.0,2004
T51-T65 Tox. effcts. of substnces. chiefly non-medicinal as to source,7614,4675,6846,159,152.0,153.0,1.9,1.0,35,2049,4989,759.0,586,615,13320.0,2004
T66-T78 Other and unspecified effects of external causes,9997,5278,8880,580,84.0,35.0,1.9,1.0,37,2906,5346,1268.0,1355,824,17905.0,2004
T79 Certain early complications of trauma,2380,1915,1914,343,79.0,35.0,6.9,3.0,43,252,1854,347.0,370,103,15776.0,2004
T80-T88 Complications of surgical & medical care nec.,123022,72734,72189,39924,90.0,49.0,8.6,3.0,56,8125,60134,40495.0,35354,12738,950252.0,2004
T90-T98 Sequelae of injuriesof poisoning & other consequences,539,302,136,286,127.0,104.0,15.5,3.0,48,50,322,68.0,130,144,5375.0,2004
Z00-Z13 Examination and investigation,205781,115690,17590,73923,93.0,49.0,2.2,1.0,54,23204,78989,60536.0,46616,157475,113252.0,2004
Z20-Z29 Potential health hazards related to communicable diseases,7407,4225,362,2149,19.0,7.0,1.8,1.0,16,5765,792,587.0,575,3289,7583.0,2004
Z30-Z39 Health services in circumstances related to reproduction,622691,237984,6051,58472,89.0,67.0,1.4,1.0,10,428484,201470,116.0,190,62570,796160.0,2004
Z40-Z54 Persons encountering health services for specific care,126493,73578,10830,78386,77.0,39.0,8.5,2.0,52,14846,59281,29951.0,30097,56091,574135.0,2004
Z55-Z65 Potential health hazards reltd. to socioeconomic & psychosoc.l,899,420,583,188,29.0,7.0,11.8,1.0,33,363,382,72.0,158,144,9433.0,2004
Z70-Z76 Persons encountering health services in other circs.,52044,30399,10315,10965,71.0,19.0,7.9,3.0,33,26764,17223,5386.0,11117,3302,391729.0,2004
Z80-Z99 Persons with potential health hazards related to family,11124,5713,874,4920,85.0,43.0,10.3,2.0,48,1866,4995,2594.0,2080,7275,36397.0,2004
A00-A09 Intestinal infectious diseases,45191,24816,40852,2244,52.0,34.0,4.6,1.0,30,28230,10140,5010.0,9496,3297,192356.0,2005
A15-A19 Tuberculosis,3932,3368,2735,728,24.0,8.0,17.4,10.0,41,282,4255,766.0,525,408,65206.0,2005
A20-A49 Certain bacterial diseases,20942,16358,18781,610,27.0,7.0,14.4,7.0,62,3877,6998,7519.0,15066,355,318499.0,2005
A50-A64 Infections with predominantly sexual mode of transmission,2678,1269,632,1810,81.0,57.0,3.6,1.0,37,83,2148,161.0,150,1512,4103.0,2005
A65-A79 Other infectious and parasitic disorders,262,157,151,52,66.0,34.0,6.1,2.5,39,44,199,54.0,10,79,1021.0,2005
A80-A89 Viral infections of the central nervous system,2185,1439,1934,100,29.0,15.0,8.8,4.0,34,341,2370,254.0,103,37,19447.0,2005
A90-A99 Arthropod-borne viral fevers & viral haemorrhagic fevers,42,43,38,1,0.0,0.0,3.5,4.0,34,3,53,2.0,0,1,152.0,2005
B00-B09 Viral infections characterized by skin & mucous mem. lesns.,11738,6373,8082,2949,68.0,48.0,5.0,2.0,35,5339,3921,1454.0,2300,2939,45563.0,2005
B15-B19 Viral hepatitis,6068,4656,1260,2449,52.0,33.0,4.9,2.0,42,162,5799,589.0,70,3329,13527.0,2005
B20-B24 Human imrnunodeficiency virus [HIV] disease,4489,3879,2030,1070,10.0,1.0,14.8,7.0,39,165,4940,169.0,30,1626,44245.0,2005
B25-B34 Other viral diseases,41078,23534,40198,349,28.0,14.0,1.3,1.0,13,29957,11371,1336.0,796,337,54664.0,2005
B35-B49 Mycoses,3195,1856,1715,932,44.0,24.0,7.2,2.0,47,736,1612,838.0,782,1103,15851.0,2005
B50-B64 Protozoal diseases,2267,1794,1876,195,11.0,1.0,4.5,3.0,36,282,2254,225.0,41,235,9362.0,2005
B65-B83 Helminthiases,431,226,251,119,68.0,38.0,4.2,3.0,26,168,278,35.0,5,118,1330.0,2005
B85-B99 Other infectious and parasitic diseases,734,403,567,76,42.0,30.0,7.7,3.0,47,227,294,112.0,262,76,5130.0,2005
C00-C14 Malignant neoplasm of liporal cavity and pharynx,12778,10101,2013,7062,20.0,11.0,8.9,4.0,60,184,7024,5106.0,2215,2525,92225.0,2005
C15-C26 Malignant neoplasm of digestive organs,233899,163751,32685,80073,17.0,9.0,11.2,7.0,67,512,68845,126740.0,71409,142263,1058333.0,2005
C30-C39 Malignant neoplasms of respiratory & intrathoracic organs,80775,59148,22654,23633,14.0,7.0,10.5,6.0,67,236,24327,47334.0,25301,39500,449913.0,2005
C40-C41 Malignant neoplasm of bone and articular cartilage,5246,3348,869,1650,21.0,9.0,7.0,4.0,28,1630,3228,381.0,301,1220,28519.0,2005
C43-C44 Malignant neoplasms of skin,63682,35454,1225,57514,46.0,34.0,4.7,2.0,70,92,13974,21436.0,28846,50161,63291.0,2005
C45-C49 Malignant neoplasms of mesothelial and soft tissue,12937,8593,2775,4685,21.0,11.0,8.0,4.0,56,1479,4856,5435.0,2642,4692,66914.0,2005
C50 Malignant neoplasm of breast,128642,708,7407,56023,18.0,13.0,5.6,4.0,57,0,80737,38358.0,12450,80788,260840.0,2005
C51-C58 Malignant neoplasms of female genital organs,54227,0,7140,21549,20.0,13.0,7.4,4.0,61,116,23514,23373.0,10329,26231,206576.0,2005
C60-C63 Malignant neoplasms of male genital organs,44594,49176,8242,23191,40.0,26.0,8.4,4.0,68,87,10135,20780.0,18155,19171,213607.0,2005
C64-C68 Malignant neoplasms of urinary tract,86961,67852,7362,44843,40.0,27.0,6.6,3.0,70,2108,13857,38678.0,38207,42827,293100.0,2005
"C69-C72 Malignant neoplasms of eye, brain & other parts of CNS",16561,11153,5215,4206,22.0,9.0,11.8,6.0,38,6358,7201,3941.0,1739,5948,127652.0,2005
"C73-C80, C97 Malignant neoplsm. of thyroid and oth. endo. Glands etc.",83456,38095,23658,24165,18.0,9.0,10.5,6.0,62,2226,34190,38989.0,22758,36080,516589.0,2005
"C81-C96 Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",222094,135121,24885,74677,12.0,6.0,9.0,3.0,55,22231,90113,80258.0,40960,165641,514166.0,2005
D00-D48 In situ & benign neoplasms and others of uncertainty,267767,117309,14169,192807,73.0,44.0,5.3,3.0,55,10746,143468,69424.0,53978,185422,433971.0,2005
D50-D64 Anaemias,125723,62389,37095,46079,32.0,16.0,6.2,2.0,59,8452,54163,34394.0,52704,73835,324480.0,2005
D65-D89 Diseases of the blood and blood-forming organs,54269,31518,16005,15920,17.0,7.0,5.4,3.0,45,11167,26886,13636.0,6583,32721,118694.0,2005
E00-E07 Disorders of thyroid gland,10443,2203,1983,7468,90.0,62.0,5.4,3.0,51,606,6976,2395.0,1587,1846,45603.0,2005
E10-E14 Diabetes Mellitus,54943,39478,33281,15466,39.0,27.0,9.0,3.0,52,5694,33407,18299.0,13761,16414,355737.0,2005
E15-E90 Endocrine nutritional and metabolic diseases,86490,49381,35590,25411,51.0,17.0,8.2,4.0,52,13107,42519,21405.0,24471,36793,407929.0,2005
F00-F03 Dementia,20987,11238,11850,1959,17.0,2.0,74.6,27.0,81,1,480,4941.0,21944,273,1245832.0,2005
F04-F09 Other organic including symptomatic mental disorders,4154,2483,3237,226,29.0,4.0,39.8,16.0,72,26,1182,1009.0,3441,21,145482.0,2005
F10-F19 Mental and behavioural disorders due to psychoactive subst.,44367,36509,34526,4929,19.0,6.0,10.5,4.0,40,2295,44429,4606.0,1196,60,462423.0,2005
